symbol,date,open,high,low,close,volume
AAPL,2025-01-02,150.25,155.80,149.50,154.30,98500000
AAPL,2025-01-03,154.50,157.20,153.10,156.80,87200000
AAPL,2025-01-06,156.00,158.40,155.20,157.90,92100000
AAPL,2025-01-07,158.10,160.50,157.00,159.40,105600000
AAPL,2025-01-08,159.00,161.20,158.50,160.80,88900000
MSFT,2025-01-02,310.50,318.20,309.00,316.40,45200000
MSFT,2025-01-03,316.80,320.00,315.50,319.20,38700000
MSFT,2025-01-06,319.00,322.50,318.00,321.80,42100000
MSFT,2025-01-07,322.00,325.40,320.50,324.10,48900000
MSFT,2025-01-08,324.50,327.00,323.00,326.50,41300000
GOOGL,2025-01-02,140.20,145.60,139.50,144.30,52300000
GOOGL,2025-01-03,144.50,147.80,143.20,146.90,48700000
GOOGL,2025-01-06,147.00,149.50,146.00,148.80,50100000
GOOGL,2025-01-07,149.00,151.20,148.00,150.50,55800000
GOOGL,2025-01-08,150.80,153.00,150.00,152.40,47200000
AMZN,2025-01-02,185.30,190.50,184.00,189.20,68400000
AMZN,2025-01-03,189.50,193.80,188.50,192.40,61200000
AMZN,2025-01-06,192.00,195.20,191.00,194.50,64800000
AMZN,2025-01-07,195.00,197.50,193.50,196.20,72100000
AMZN,2025-01-08,196.50,199.00,195.00,198.10,66500000
